"Juego","Temporada","Fecha","Hora","T_1","T_2","T_3","T_4","T_5","T_6","T_7","T_8","T_9","t_10","T_C","T_H","T_E","O_1","O_2","O_3","O_4","O_5","O_6","O_7","O_8","O_9","O_10","O_C","O_H","O_E","Visitante Equipo","Home Club equipo","Stadium","Horario","Publico"
1,"2021-22","10/23/2021","18:16:00",0,0,0,0,0,0,0,0,3,,3,5,1,0,0,1,0,0,0,6,1,"x",,8,10,1,"Tiburones de La Guaira","Caribes de Anzoategui","Estadio Alfonso Carrasquel","Noche","3,059"
2,"2021-22","10/24/2021","18:11:00",0,0,0,0,2,1,2,0,2,,7,14,1,0,0,2,0,1,0,1,0,0,,4,8,2,"Tiburones de La Guaira","Caribes de Anzoategui","Estadio Alfonso Carrasquel","Noche","2,223"
3,"2021-22","10/26/2021","18:09:00",0,0,0,0,0,0,0,0,0,,4,1,0,2,0,0,0,0,2,0,3,2,,9,14,0,"Cardenales de Lara","Tiburones de La Guaira","Estadio Universitario","Noche","1,075"
4,"2021-22","10/28/2021","18:10:00",0,0,0,1,1,0,0,0,1,,3,9,0,1,0,0,2,0,1,0,0,"x",,4,11,2,"Tiburones de La Guaira","Navegantes del Magallanes","Estadio Jose Bernardo Perez","Noche","2,667"
5,"2021-22","10/29/2021","18:09:00",2,1,0,0,1,0,0,0,1,,5,12,2,1,0,0,0,0,0,2,9,0,,12,15,1,"Bravos de Margarita","Tiburones de La Guaira","Estadio Forum de La Guaira","Noche","2,285"
6,"2021-22","10/30/2021","14:06:00",1,0,0,0,0,0,0,0,"x",,1,9,0,0,0,0,0,0,0,0,0,0,,0,5,0,"Bravos de Margarita","Tiburones de La Guaira","Estadio Forum de La Guaira","Dia","1,859"
7,"2021-22","10/31/2021","13:03:00",0,0,2,0,0,4,3,0,"x",,9,12,0,0,2,0,0,0,1,0,0,1,,4,12,2,"Aguilas del Zulia","Tiburones de La Guaira","Estadio Universitario","Dia",
8,"2021-22","2/11/2021","18:06:00",1,0,2,0,1,0,1,0,"x",,5,10,1,0,0,0,0,1,0,0,0,0,,1,6,0,"Navegantes del Magallanes","Tiburones de La Guaira","Estadio Universitario","Noche","1,628"
9,"2021-22","3/11/2021","18:09:00",0,1,0,0,0,0,0,0,0,,1,5,3,1,0,3,0,0,0,0,0,1,,5,8,0,"Cardenales de Lara","Tiburones de La Guaira","Estadio Universitario","Noche","1,059"
10,"2021-22","4/11/2021","18:04:00",0,0,0,1,0,0,0,2,2,,5,12,0,0,0,0,0,0,0,2,1,1,,4,13,1,"Cardenales de Lara","Tiburones de La Guaira","Estadio Universitario","Noche","1,076"
11,"2021-22","5/11/2021","18:04:00",4,5,4,0,4,0,0,0,"x",,17,19,2,3,0,4,2,1,1,0,0,0,,11,12,3,"Tigres de Aragua","Tiburones de La Guaira","Estadio Universitario","Noche",
12,"2021-22","6/11/2021","15:05:00",1,1,0,0,2,5,0,0,0,,9,14,1,0,0,0,8,3,0,0,0,"x",,11,13,2,"Tiburones de La Guaira","Leones del Caracas","Estadio Universitario","Dia","2,023"
13,"2021-22","7/11/2021","15:37:00",1,0,0,2,2,0,0,0,0,,5,11,1,0,0,0,0,0,1,0,4,1,,6,8,3,"Tiburones de La Guaira","Cardenales de Lara","Estadio Antonio Herrera Gutierrez","Dia","3,878"
14,"2021-22","9/11/2021","18:04:00",2,0,0,0,2,0,0,1,"x",,5,5,0,0,3,0,0,0,0,0,0,0,,3,7,1,"Aguilas del Zulia","Tiburones de La Guaira","Estadio Universitario","Noche","1,017"
15,"2021-22","10/11/2021","18:09:00",0,0,1,1,3,2,0,0,1,,8,13,0,0,0,0,0,0,0,1,0,0,,1,6,0,"Tiburones de La Guaira","Navegantes del Magallanes","Estadio Jose Bernardo Perez","Noche","2,760"
16,"2021-22","11/11/2021","18:05:00",0,0,0,0,0,0,0,0,1,,1,8,0,0,0,4,1,0,2,0,0,0,,7,10,0,"Leones del Caracas","Tiburones de La Guaira","Estadio Universitario","Noche",
17,"2021-22","12/11/2021","18:05:00",2,0,1,0,0,0,0,0,1,,4,8,1,0,0,2,4,0,2,0,3,1,,12,14,0,"Navegantes del Magallanes","Tiburones de La Guaira","Estadio Universitario","Noche",
18,"2021-22","13/11/2021","15:07:00",0,1,3,1,0,0,0,0,0,,5,12,0,0,0,0,0,0,0,0,0,0,,0,5,2,"Tiburones de La Guaira","Tigres de Aragua","Estadio Jose Perez Colmenares","Dia","1,975"
19,"2021-22","14/11/2021","17:07:00",0,0,0,0,0,0,1,0,1,,2,10,1,0,0,1,1,4,0,0,0,"x",,6,6,0,"Tiburones de La Guaira","Bravos de Margarita","Estadio Forum de La Guaira","Dia","1,156"
20,"2021-22","16/11/2021","18:05:00",0,0,0,7,0,0,0,0,0,,7,9,1,0,2,0,0,0,0,2,0,0,,4,8,3,"Tiburones de La Guaira","Aguilas del Zulia","Estadio Luis Aparicio","Noche","2,454"
21,"2021-22","17/11/2021","18:12:00",0,3,0,0,0,0,1,0,0,,4,10,1,0,0,0,0,2,3,0,1,"x",,6,11,0,"Tiburones de La Guaira","Aguilas del Zulia","Estadio Luis Aparicio","Noche","2,807"
22,"2021-22","18/11/2022","13:04:00",0,0,0,1,0,3,2,0,0,,6,8,1,0,0,0,0,0,0,6,0,1,,7,6,0,"Tiburones de La Guaira","Aguilas del Zulia","Estadio Luis Aparicio","Dia","4,007"
23,"2021-22","19/11/2022","17:06:00",0,0,0,0,3,2,2,5,0,,12,11,0,0,0,0,0,0,0,2,0,0,,2,6,1,"Tiburones de La Guaira","Aguilas del Zulia","Estadio Luis Aparicio","Dia","3,712"
24,"2021-22","20/11/2022","22:52:00",0,0,1,2,2,5,0,0,0,,10,17,3,1,3,0,2,6,0,0,6,0,,18,20,3,"Tigres de Aragua","Tiburones de La Guaira","Estadio Universitario","Noche",999
25,"2021-22","23/11/2022","18:13:00",0,0,0,0,0,0,0,0,0,,0,4,2,0,0,0,0,3,1,0,2,3,,9,15,1,"Cardenales de Lara","Tiburones de La Guaira","Estadio Forum de La Guaira","Noche","1,653"
26,"2021-22","24/11/2022","18:06:00",0,0,0,0,0,0,0,0,0,,0,3,0,0,3,0,3,0,0,0,0,0,,6,9,0,"Aguilas del Zulia","Tiburones de La Guaira","Estadio Universitario","Noche",
27,"2021-22","25/11/2022","18:09:00",0,5,2,1,0,0,0,1,0,0,9,14,2,1,1,0,5,0,0,0,1,1,1,10,14,0,"Tiburones de La Guaira","Caribes de Anzoategui","Estadio Alfonso Carrasquel","Noche","2,220"
28,"2021-22","26/11/2022","18:04:00",1,0,0,0,0,0,0,4,0,,5,6,1,2,0,3,1,0,0,0,0,"x",,6,9,4,"Tiburones de La Guaira","Caribes de Anzoategui","Estadio Alfonso Carrasquel","Noche","2,282"
29,"2021-22","27/11/2022","21:29:00",0,0,0,1,3,3,0,0,0,,7,10,1,0,0,2,0,0,0,1,0,5,,8,14,2,"Tigres de Aragua","Tiburones de La Guaira","Estadio Universitario","Noche","1,010"
30,"2021-22","28/11/2022","19:26:00",0,1,0,2,0,0,0,0,0,0,3,7,0,0,1,1,0,0,0,0,1,0,2,5,12,1,"Tigres de Aragua","Tiburones de La Guaira","Estadio Forum de La Guaira","Noche","1,518"
31,"2021-22","30/11/2022","18:14:00",0,0,0,2,1,0,1,0,1,,5,11,1,0,0,0,1,0,2,0,0,0,,3,8,1,"Tiburones de La Guaira","Tigres de Aragua","Estadio Jose Perez Colmenares","Noche","2,630"
32,"2021-22","02/12/2022","18:06:00",0,0,0,2,0,0,0,0,2,,4,9,0,0,0,7,0,0,0,0,0,2,,9,12,1,"Leones del Caracas","Tiburones de La Guaira","Estadio Forum de La Guaira","Noche","2,838"
33,"2021-22","03/12/2022","18:07:00",0,0,0,0,0,0,0,0,0,,0,4,1,0,0,0,0,0,0,0,1,"x",,1,5,0,"Tiburones de La Guaira","Leones del Caracas","Estadio Universitario","Noche","1,802"
34,"2021-22","04/12/2022","16:05:00",3,0,0,0,1,2,2,,,,8,12,1,4,0,1,0,3,0,3,,,,11,15,0,"Caribes de Anzoategui","Tiburones de La Guaira","Estadio Universitario","Dia",503
35,"2021-22","04/12/2022","20:15:00",0,2,1,3,0,0,"x",,,,6,8,0,2,0,1,0,0,1,0,,,,4,6,1,"Caribes de Anzoategui","Tiburones de La Guaira","Estadio Universitario","Noche",914
36,"2021-22","05/12/2022","17:38:00",0,0,1,0,0,0,3,0,0,,4,9,4,0,0,2,0,2,2,4,2,"x",,12,15,0,"Tiburones de La Guaira","Navegantes del Magallanes","Estadio Jose Bernardo Perez","Dia","3,018"
37,"2021-22","07/12/2022","18:07:00",0,0,0,0,2,0,0,0,1,,3,9,1,1,0,2,0,0,0,0,0,2,,5,13,1,"Leones del Caracas","Tiburones de La Guaira","Estadio Universitario","Noche","1,425"
38,"2021-22","09/12/2022","18:06:00",0,2,2,3,0,0,0,0,0,,7,7,1,4,1,0,0,5,1,0,0,"x",,11,17,0,"Tiburones de La Guaira","Navegantes del Magallanes","Estadio Jose Bernardo Perez","Noche","2,993"
39,"2021-22","10/12/2022","18:07:00",0,2,1,0,0,0,0,1,0,,4,10,0,1,0,1,0,0,0,0,6,"x",,8,14,1,"Tiburones de La Guaira","Leones del Caracas","Estadio Universitario","Noche","1,176"
40,"2021-22","11/12/2022","17:12:00",0,0,0,0,0,0,1,0,5,,6,10,0,0,0,0,2,0,1,0,0,1,,4,8,3,"Tiburones de La Guaira","Tigres de Aragua","Estadio Jose Perez Colmenares","Dia","2,270"
41,"2021-22","12/12/2022","13:09:00",0,0,0,0,1,0,0,0,1,,2,6,2,3,0,0,0,1,0,4,1,0,,9,12,1,"Navegantes del Magallanes","Tiburones de La Guaira","Estadio Universitario","Dia",
42,"2021-22","14/12/2022","19:17:00",0,0,0,2,0,0,0,0,0,,2,4,0,0,0,0,4,0,1,1,2,"x",,8,11,0,"Tiburones de La Guaira","Bravos de Margarita","Estadio Forum de La Guaira","Noche",619
43,"2021-22","15/12/2022","18:21:00",0,0,0,0,0,1,1,0,0,,2,11,0,0,2,1,0,1,0,0,0,0,,4,8,0,"Leones del Caracas","Tiburones de La Guaira","Estadio Universitario","Noche",
44,"2021-22","16/12/2022","18:03:00",0,0,1,0,0,0,0,0,0,,1,2,2,1,1,0,0,1,0,2,1,"x",,6,13,2,"Cardenales de Lara","Tiburones de La Guaira","Estadio Universitario","Noche",
45,"2021-22","17/12/2022","18:05:00",1,0,0,2,0,0,0,0,0,,3,9,0,0,1,0,0,0,0,0,0,1,,2,12,1,"Tiburones de La Guaira","Cardenales de Lara","Estadio Antonio Herrera Gutierrez","Noche","1,534"
46,"2021-22","18/12/2022","15:08:00",1,0,0,0,0,2,2,0,0,,5,12,3,1,1,3,0,0,2,0,0,0,,7,9,2,"Bravos de Margarita","Tiburones de La Guaira","Estadio Forum de La Guaira","Dia","1,056"
47,"2021-22","19/12/2022","13:10:00",1,0,0,2,0,0,3,2,0,,8,12,0,0,0,3,0,0,6,0,1,0,,10,11,2,"Caribes de Anzoategui","Tiburones de La Guaira","Estadio Universitario","Dia",
48,"2021-22","21/12/2022","18:08:00",1,1,2,0,0,0,0,0,0,,4,10,3,2,4,2,0,2,0,0,1,"x",,11,10,0,"Bravos de Margarita","Tiburones de La Guaira","Estadio Forum de La Guaira","Noche",601
49,"2021-22","22/12/2022","18:06:00",0,0,1,0,0,1,0,0,0,,2,10,3,0,5,0,0,0,0,1,3,3,,12,11,1,"Tiburones de La Guaira","Bravos de Margarita","Estadio Forum de La Guaira","Noche",
