years,jugador,edad,w,l,w-l%,era,g,gs,cg,sho,sv,ip,h,r,er,hr,bb,so,whip,h/9,hr/9,bb/9,so/9,so/bb,bk,refuerzo
2003-04,F. Lira,31,0,3,0,10.57,4,4,0,,0,15.1,29,,18,,4,10,2152,17.02,,2.35,5.87,2.5,,NO
2003-04,F. Rodríguez,21,0,1,0,1.74,9,0,0,,5,10.1,7,,2,,3,18,968,6.1,,2.61,15.68,6,,NO
2003-04,G. Casadiego,21,1,0,1,5.68,6,0,0,,0,6.1,5,,4,,2,4,1105,7.11,,2.84,5.68,2,,NO
2003-04,G. González,28,2,1,0.6667,1.45,3,3,0,,0,18.2,21,,3,,3,11,1286,10.13,,1.45,5.3,3.6667,,SI
2003-04,G. Mata,20,0,0,,5.4,3,1,0,,0,8.1,13,,5,,1,7,1.68,14.04,,1.08,7.56,7,,NO
2003-04,J. Rincon,24,0,1,0,3.45,3,3,0,,0,15.2,15,,6,,3,15,1149,8.62,,1.72,8.62,5,,SI
2003-04,M. Castillo,24,0,1,0,4.05,5,0,0,,0,6.2,7,,3,,1,5,1.2,9.45,,1.35,6.75,5,,NO
2003-04,M. González,25,1,0,1,0,6,0,0,,0,3.2,1,,0,,1,5,545,2.45,,2.45,12.27,5,,NO
2003-04,M. Romano,31,1,0,1,0,2,2,0,,0,13.2,7,,0,,2,10,659,4.61,,1.32,6.59,5,,SI
2003-04,R. Marquez,30,0,0,,15.43,4,0,0,,0,2.1,4,,4,,3,3,3,15.43,,11.57,11.57,1,,NO
2003-04,R. Salazar,22,0,0,,6.75,4,0,0,,0,1.1,0,,1,,1,2,0.75,0,,6.75,13.5,2,,NO
2003-04,S. Falteisek,31,0,0,,7.36,5,0,0,,0,7.1,10,,6,,6,6,2182,12.27,,7.36,7.36,1,,NO
2000-01,A. Conde,34,2,1,0.6667,4.3,6,1,0,,1,14.2,15,,7,,3,10,1227,9.2,,1.84,6.14,3.3333,,SI
2000-01,A. Hazlet,25,0,2,0,5.93,3,3,0,,0,13.2,22,,9,,4,12,1902,14.49,,2.63,7.9,3,,NO
2000-01,A. Levrault,23,0,0,,3.09,2,2,0,,0,11.2,5,,4,,3,6,686,3.86,,2.31,4.63,2,,NO
2000-01,B. Scanlan,34,0,0,,3.24,6,0,0,,1,8.1,10,,3,,2,2,1.44,10.8,,2.16,2.16,1,,NO
2000-01,C. Rodríguez,21,0,0,,18,2,0,0,,0,1,1,,2,,2,0,3,9,,18,0,0,,NO
2000-01,D. Pacheco,22,1,2,0.3333,8.1,3,3,0,,0,10,13,,9,,6,4,1.9,11.7,,5.4,3.6,0.6667,,NO
2000-01,E. González,18,0,0,,4.5,2,0,0,,0,2,2,,1,,1,1,1.5,9,,4.5,4.5,1,,NO
2000-01,E. Pérez,28,0,1,0,2.7,6,0,0,,0,6.2,6,,2,,2,3,1.2,8.1,,2.7,4.05,1.5,,NO
2000-01,F. Lira,28,1,3,0.25,2.57,4,4,1,,0,28,24,,8,,3,7,964,7.71,,0.96,2.25,2.3333,,NO
2000-01,G. Casadiego,18,0,0,,15.19,5,0,0,,0,5.1,13,,9,,2,1,2813,21.94,,3.38,1.69,0.5,,NO
2000-01,J. Julio,21,0,1,0,7.94,6,0,0,,2,5.2,6,,5,,3,6,1588,9.53,,4.76,9.53,2,,NO
2000-01,L. Salazar,26,0,0,,10.13,2,0,0,,0,2.2,4,,3,,0,1,1.5,13.5,,0,3.38,,,NO
2000-01,L. Wimberly,23,0,0,,18,6,0,0,,0,3,5,,6,,2,3,2333,15,,6,9,1.5,,NO
2000-01,M. Busby,28,1,1,0.5,2.12,6,1,0,,0,17,12,,4,,7,18,1118,6.35,,3.71,9.53,2.5714,,NO
2000-01,M. Callaway,25,0,0,,4.61,3,2,0,,0,13.2,15,,7,,5,4,1463,9.88,,3.29,2.63,0.8,,NO
2000-01,Y. Naveda,32,0,0,,10.13,1,0,0,,0,2.2,6,,3,,0,1,2.25,20.25,,0,3.38,,,NO
1991-92,C. Scott,0,1,1,0.5,1.26,3,2,0,,0,14.1,11,,2,,1,6,837,6.91,,0.63,3.77,6,,NO
1991-92,C. Young,27,1,0,1,2.57,1,1,0,,0,7,3,,2,,3,6,857,3.86,,3.86,7.71,2,,NO
1991-92,D. Delcine,18,0,0,,9,1,0,0,,0,3,5,,3,,0,0,1667,15,,0,0,,,NO
1991-92,D. Rambo,25,3,0,1,1.83,3,3,0,,0,19.2,12,,4,,7,8,966,5.49,,3.2,3.66,1.1429,,SI
1991-92,F. Campos,23,0,2,0,3.57,5,3,0,,2,17.2,18,,7,,6,9,1358,9.17,,3.06,4.58,1.5,,NO
1991-92,F. Lira,19,0,1,0,4,2,1,0,,0,9,13,,4,,1,2,1556,13,,1,2,2,,NO
1991-92,F. Toliver,30,0,1,0,1.8,6,0,0,,2,10,6,,2,,8,11,1.4,5.4,,7.2,9.9,1375,,NO
1991-92,J. Cardona,23,0,0,,4.15,3,0,0,,0,8.2,7,,4,,2,1,1038,7.27,,2.08,1.04,0.5,,NO
1991-92,J. Ramos,23,0,0,,3.52,6,0,0,,0,7.2,7,,3,,2,2,1174,8.22,,2.35,2.35,1,,NO
1991-92,L. Vázquez,24,0,1,0,14.4,2,2,0,,0,5,10,,8,,2,0,2.4,18,,3.6,0,0,,NO
1991-92,M. Grater,27,0,1,0,5.79,5,0,0,,0,4.2,9,,3,,3,0,2571,17.36,,5.79,0,0,,NO
1991-92,R. Garces,25,0,0,,0,2,0,0,,0,0.2,2,,0,,1,0,4.5,27,,13.5,0,0,,NO
1989-90,A. Álvarez,19,0,1,0,0,2,0,0,,0,2.2,1,,0,,1,2,0.75,3.38,,3.38,6.75,2,,NO
1989-90,A. Hernández,35,1,0,1,2.53,4,0,0,,0,10.2,9,,3,,3,5,1125,7.59,,2.53,4.22,1.6667,,NO
1989-90,C. Beasley,27,2,0,1,1.15,2,2,1,,0,15.2,12,,2,,6,5,1149,6.89,,3.45,2.87,0.8333,,NO
1989-90,C. Young,25,1,1,0.5,3.1,4,3,0,,0,20.1,19,,7,,6,6,1.23,8.41,,2.66,2.66,1,,NO
1989-90,D. Lynch,24,1,0,1,1.8,3,1,0,,0,10,12,,2,,2,7,1.4,10.8,,1.8,6.3,3.5,,NO
1989-90,F. Campos,21,0,0,,0,2,0,0,,0,2,2,,0,,2,0,2,9,,9,0,0,,NO
1989-90,J. Cardona,21,1,0,1,1.5,4,0,0,,0,6,5,,1,,3,3,1333,7.5,,4.5,4.5,1,,NO
1989-90,J. Ramos,21,0,2,0,4.5,7,0,0,,1,8,7,,4,,6,2,1625,7.87,,6.75,2.25,0.3333,,NO
1989-90,L. Sánchez,36,1,0,1,4.15,4,0,0,,1,8.2,9,,4,,5,11,1615,9.35,,5.19,11.42,2.2,,NO
1989-90,M. Petkovsek,24,0,1,0,3.93,3,3,0,,0,18.1,16,,8,,6,5,1.2,7.85,,2.95,2.45,0.8333,,NO
1989-90,P. Tovar,0,0,0,,,1,0,0,,0,0,0,,0,,1,0,,,,,,0,,NO
1989-90,R. Garces,23,0,0,,5.87,3,3,0,,0,7.2,10,,5,,7,6,2217,11.74,,8.22,7.04,0.8571,,NO
1988-89,F. Campos,20,1,0,1,2.3,4,0,0,,0,15.2,7,,4,,8,14,957,4.02,,4.6,8.04,1.75,,NO
1988-89,J. Barfield,24,1,1,0.5,2.53,3,3,0,,0,21.1,15,,6,,5,10,938,6.33,,2.11,4.22,2,,NO
1988-89,J. Ramos,20,0,0,,1.5,3,0,0,,0,6,5,,1,,0,3,833,7.5,,0,4.5,,,NO
1988-89,K. Rogers,24,1,1,0.5,1.86,3,3,0,,0,19.1,22,,4,,3,7,1293,10.24,,1.4,3.26,2.3333,,NO
1988-89,L. Lunar,33,0,0,,0,2,0,0,,0,2.2,1,,0,,1,0,0.75,3.38,,3.38,0,0,,NO
1988-89,L. Sánchez,35,0,2,0,5.4,4,0,0,,1,6.2,7,,4,,2,5,1.35,9.45,,2.7,6.75,2.5,,NO
1988-89,R. Garces,22,0,2,0,21.6,2,2,0,,0,3.1,12,,8,,1,3,3.9,32.4,,2.7,8.1,3,,NO
1988-89,S. Clarke,28,0,0,,1.93,5,1,0,,0,9.1,7,,2,,4,1,1179,6.75,,3.86,0.96,0.25,,NO
1988-89,S. May,27,2,1,0.6667,1.64,3,3,1,,0,22,17,,4,,9,20,1182,6.95,,3.68,8.18,2.2222,,NO
1986-87,A. Hernández,32,1,0,1,0,2,2,0,,0,14.2,8,,0,,2,4,682,4.91,,1.23,2.45,2,,NO
1986-87,C. McMurtry,27,0,1,0,1.29,1,1,0,,0,7,4,,1,,3,10,1,5.14,,3.86,12.86,3.3333,,NO
1986-87,J. Sellers,22,0,0,,0,1,0,0,,1,2,0,,0,,2,0,1,0,,9,0,0,,NO
1986-87,M. Henneman,25,1,0,1,2,2,1,0,,0,9,8,,2,,1,7,1,8,,1,7,7,,NO
1986-87,N. Snell,34,1,0,1,1.69,3,0,0,,0,5.1,2,,1,,2,3,0.75,3.38,,3.38,5.06,1.5,,NO
1986-87,O. Jones,33,1,0,1,2.57,1,1,0,,0,7,6,,2,,2,5,1143,7.71,,2.57,6.43,2.5,,NO
1985-86,A. Hernández,31,1,0,1,5.4,1,1,0,,0,5,5,,3,,2,3,1.4,9,,3.6,5.4,1.5,,NO
1985-86,B. Clark,29,0,1,0,1.26,2,2,1,,0,14.1,8,,2,,12,8,1395,5.02,,7.53,5.02,0.6667,,NO
1985-86,D. Wyatt,0,0,0,,2.25,2,0,0,,0,4,7,,1,,0,2,1.75,15.75,,0,4.5,,,NO
1985-86,L. Sánchez,32,1,0,1,0,3,0,0,,1,4.1,2,,0,,2,5,923,4.15,,4.15,10.38,2.5,,NO
1985-86,O. Jones,32,2,0,1,0.5,2,2,2,,0,18,8,,1,,4,19,667,4,,2,9.5,4.75,,NO
1985-86,T. McCarthy,24,0,1,0,3.68,1,1,0,,0,7.1,9,,3,,7,3,2182,11.05,,8.59,3.68,0.4286,,NO
1984-85,A. Hernández,30,0,0,,3.52,2,0,0,,0,7.2,8,,3,,5,3,1696,9.39,,5.87,3.52,0.6,,NO
1984-85,B. Clark,28,1,0,1,0.9,2,2,0,,0,10,6,,1,,13,6,1.9,5.4,,11.7,5.4,0.4615,,NO
1984-85,E. Glynn,31,1,1,0.5,2.08,3,0,0,,0,4.1,4,,1,,1,4,1154,8.31,,2.08,8.31,4,,NO
1984-85,G. Heimuller,29,1,0,1,1.59,1,1,0,,0,5.2,6,,1,,5,0,1941,9.53,,7.94,0,0,,NO
1984-85,L. Lunar,29,0,0,,0,1,0,0,,0,0.1,1,,0,,2,0,9,27,,54,0,0,,NO
1984-85,L. Sánchez,31,0,0,,6.75,3,0,0,,1,5.1,5,,4,,3,1,1.5,8.44,,5.06,1.69,0.3333,,NO
1984-85,R. Siwy,31,0,0,,1.17,2,1,0,,0,7.2,4,,1,,6,2,1304,4.7,,7.04,2.35,0.3333,,NO
1984-85,T. Brizzolara,27,1,0,1,0,1,1,1,,0,9,4,,0,,6,5,1111,4,,6,5,0.8333,,NO
1984-85,W. Flores,22,0,1,0,12,1,1,0,,0,3,5,,4,,2,2,2333,15,,6,6,1,,NO
1983-84,B. Clark,27,0,1,0,0,3,0,0,,1,6.2,5,,0,,2,2,1.05,6.75,,2.7,2.7,1,,NO
1983-84,B. Lee,37,0,0,,0,1,0,0,,0,0.1,0,,0,,0,0,0,0,,0,0,,,NO
1983-84,D. Moore,29,0,0,,4.5,1,1,0,,0,6,6,,3,,1,2,1167,9,,1.5,3,2,,NO
1983-84,J. Berenguer,29,1,1,0.5,3.65,2,2,1,,0,12.1,10,,5,,6,9,1297,7.3,,4.38,6.57,1.5,,NO
1983-84,J. Dedmon,23,0,0,,13.5,2,0,0,,0,1.1,4,,2,,1,2,3.75,27,,6.75,13.5,2,,NO
1983-84,M. Decker,26,0,1,0,4.91,3,0,0,,0,7.1,10,,4,,6,5,2182,12.27,,7.36,6.14,0.8333,,NO
1983-84,M. Witt,23,1,1,0.5,2.31,2,2,0,,0,11.2,8,,3,,3,8,943,6.17,,2.31,6.17,2.6667,,NO
1983-84,P. Huffman,25,0,0,,4.26,1,1,0,,0,6.1,8,,3,,0,6,1263,11.37,,0,8.53,,,NO
1982-83,A. Williams,28,0,1,0,7.71,1,1,0,,0,2.1,4,,2,,1,0,2143,15.43,,3.86,0,0,,NO
1982-83,B. Clark,26,0,0,,0,2,0,0,,0,8.1,6,,0,,2,7,0.96,6.48,,2.16,7.56,3.5,,NO
1982-83,B. Gaff,24,2,0,1,1.98,2,2,0,,0,13.2,8,,3,,5,2,951,5.27,,3.29,1.32,0.4,,NO
1982-83,G. Biercevicz,27,0,0,,0,1,0,0,,0,2,1,,0,,1,3,1,4.5,,4.5,13.5,3,,NO
1982-83,J. Orosco,25,1,0,1,0,3,0,0,,0,2.2,7,,0,,5,4,4.5,23.63,,16.88,13.5,0.8,,NO
1982-83,L. Sánchez,29,0,0,,4.5,4,0,0,,3,6,7,,3,,5,4,2,10.5,,7.5,6,0.8,,NO
1982-83,O. Jones,29,0,1,0,5.19,2,2,0,,0,8.2,7,,5,,5,6,1385,7.27,,5.19,6.23,1.2,,NO
1982-83,R. Anderson,29,1,0,1,0,1,1,0,,0,5,5,,0,,2,2,1.4,9,,3.6,3.6,1,,NO
1982-83,T. Tellman,28,0,0,,5.06,2,0,0,,1,5.1,4,,3,,1,1,938,6.75,,1.69,1.69,1,,NO
1981-82,A. Monteagudo,38,0,0,,13.5,1,0,0,,0,2,3,,3,,1,0,2,13.5,,4.5,0,0,,NO
1981-82,A. Williams,27,0,1,0,3.52,1,1,0,,0,7.2,10,,3,,4,3,1826,11.74,,4.7,3.52,0.75,,NO
1981-82,C. Welsh,26,0,0,,2.7,1,0,0,,0,3.1,0,,1,,2,1,0.6,0,,5.4,2.7,0.5,,NO
1981-82,J. Orosco,24,0,0,,11.57,2,0,0,,0,2.1,4,,3,,2,0,2571,15.43,,7.71,0,0,,NO
1981-82,L. Sánchez,28,0,0,,9,1,0,0,,0,2,4,,2,,1,2,2.5,18,,4.5,9,2,,NO
1981-82,M. Armstrong,27,0,0,,7.71,3,0,0,,0,2.1,5,,2,,2,4,3,19.29,,7.71,15.43,2,,NO
1981-82,M. Witt,21,0,1,0,6.23,1,1,0,,0,4.1,5,,3,,2,4,1615,10.38,,4.15,8.31,2,,NO
1981-82,O. Jones,28,0,1,0,9,1,1,0,,0,3,5,,3,,2,1,2333,15,,6,3,0.5,,NO
1980-81,A. Williams,26,0,1,0,7.94,1,1,0,,0,5.2,8,,5,,3,7,1941,12.71,,4.76,11.12,2.3333,,NO
1980-81,B. Kingman,26,0,0,,2.7,1,1,0,,0,3.1,5,,1,,2,1,2.1,13.5,,5.4,2.7,0.5,,NO
1980-81,D. Rajsich,29,0,0,,5.4,2,0,0,,0,1.2,2,,1,,1,0,1.8,10.8,,5.4,0,0,,NO
1980-81,J. Orosco,23,1,0,1,5.4,3,0,0,,0,5,7,,3,,1,5,1.6,12.6,,1.8,9,5,,NO
1980-81,L. Andersen,27,0,0,,1.42,3,0,0,,1,6.1,7,,1,,1,7,1263,9.95,,1.42,9.95,7,,NO
1980-81,L. Lunar,25,0,0,,0,1,0,0,,0,1,0,,0,,2,1,2,0,,18,9,0.5,,NO
1980-81,L. Sánchez,27,0,0,,3,3,0,0,,0,3,8,,1,,1,4,3,24,,3,12,4,,NO
1980-81,M. Armstrong,26,1,0,1,0,3,0,0,,1,5.2,4,,0,,2,7,1059,6.35,,3.18,11.12,3.5,,NO
1980-81,O. Jones,27,0,0,,4.5,1,1,0,,0,2,6,,1,,0,2,3,27,,0,9,,,NO
1980-81,R. Mahler,27,0,2,0,5.23,2,2,0,,0,10.1,13,,6,,3,5,1548,11.32,,2.61,4.35,1.6667,,NO
1979-80,A. Williams,25,1,2,0.3333,5.25,3,2,0,,0,12,15,,7,,4,8,1583,11.25,,3,6,2,,NO
1979-80,B. Galasso,27,0,0,,0,3,0,0,,1,9.2,7,,0,,2,5,931,6.52,,1.86,4.66,2.5,,NO
1979-80,G. Christenson,26,0,0,,9,2,0,0,,0,1,1,,1,,0,0,1,9,,0,0,,,NO
1979-80,J. Berenguer,25,1,1,0.5,1.2,2,2,1,,0,15,11,,2,,5,15,1067,6.6,,3,9,3,,NO
1979-80,J. Dorsey,24,0,0,,0,3,0,0,,0,4,4,,0,,4,4,2,9,,9,9,1,,NO
1979-80,L. Sánchez,26,0,0,,0,1,0,0,,0,1.1,0,,0,,0,2,0,0,,0,13.5,,,NO
1979-80,O. Jones,26,0,1,0,4.09,2,2,0,,0,11,18,,5,,4,10,2,14.73,,3.27,8.18,2.5,,NO
1979-80,R. Jackson,25,1,0,1,0,1,1,0,,0,5,4,,0,,0,2,0.8,7.2,,0,3.6,,,NO
1977-78,A. Griffint,0,0,0,,1.42,1,1,0,,0,6.1,8,,1,,2,5,1579,11.37,,2.84,7.11,2.5,,NO
1977-78,A. Monteagudo,34,1,0,1,1.86,5,0,0,,0,9.2,6,,2,,3,4,931,5.59,,2.79,3.72,1.3333,,NO
1977-78,G. Minton,26,0,1,0,7.71,2,2,0,,0,7,6,,6,,5,2,1571,7.71,,6.43,2.57,0.4,,NO
1977-78,J. Berenguer,23,0,1,0,9,2,2,0,,0,5,9,,5,,8,7,3.4,16.2,,14.4,12.6,875,,NO
1977-78,J. Crawford,27,1,1,0.5,5.14,3,0,0,,0,7,5,,4,,6,6,1571,6.43,,7.71,7.71,1,,NO
1977-78,L. Lunar,22,0,0,,81,2,0,0,,0,0.1,1,,3,,2,1,9,27,,54,27,0.5,,NO
1977-78,M. Daly,0,0,0,,9,1,0,0,,0,3,3,,3,,2,1,1667,9,,6,3,0.5,,NO
1977-78,O. Osborn,31,0,0,,,1,0,0,,0,0,1,,1,,2,0,,,,,,0,,NO
1977-78,R. Harrison,31,0,1,0,4.91,2,0,0,,0,3.2,4,,2,,3,0,1909,9.82,,7.36,0,0,,NO
1977-78,R. Nieman,22,0,0,,5.4,2,1,0,,0,6.2,9,,4,,4,2,1.95,12.15,,5.4,2.7,0.5,,NO
1977-78,T. Moore,29,0,0,,0,2,0,0,,0,4.1,1,,0,,4,4,1154,2.08,,8.31,8.31,1,,NO
1976-77,B. Johnson,33,1,0,1,0,3,0,0,,2,6.1,2,,0,,4,4,947,2.84,,5.68,5.68,1,,NO
1976-77,D. Pole,26,1,0,1,12,1,0,0,,0,3,2,,4,,2,0,1333,6,,6,0,0,,NO
1976-77,E. Bass,24,1,0,1,4.15,2,0,0,,0,4.1,4,,2,,2,2,1385,8.31,,4.15,4.15,1,,NO
1976-77,L. Gura,29,1,0,1,3.68,2,2,1,,0,14.2,16,,6,,4,6,1364,9.82,,2.45,3.68,1.5,,NO
1976-77,M. Kekich,31,0,0,,6.75,1,0,0,,0,1.1,1,,1,,2,1,2.25,6.75,,13.5,6.75,0.5,,NO
1976-77,T. Bradley,29,0,0,,2.45,1,1,0,,0,3.2,4,,1,,1,2,1364,9.82,,2.45,4.91,2,,NO
1976-77,T. Chevez,23,0,0,,10.13,1,1,0,,0,2.2,5,,3,,2,1,2625,16.88,,6.75,3.38,0.5,,NO
1974-75,D. Bird,24,0,0,,5.4,2,0,0,,0,3.1,3,,2,,2,4,1.5,8.1,,5.4,10.8,2,,NO
1974-75,K. Kravec,23,0,1,0,3.38,1,1,0,,0,5.1,5,,2,,2,2,1313,8.44,,3.38,3.38,1,,NO
1974-75,O. Zamora,30,1,0,1,2.89,2,1,1,,0,9.1,11,,3,,4,1,1607,10.61,,3.86,0.96,0.25,,NO
1974-75,R. Harrison,28,0,2,0,4.96,2,2,1,,0,16.1,12,,9,,12,7,1469,6.61,,6.61,3.86,0.5833,,NO
1974-75,T. House,27,0,1,0,4.7,1,1,0,,0,7.2,8,,4,,5,9,1696,9.39,,5.87,10.57,1.8,,NO
1972-73,A. Fitzmorris,26,0,0,,2.25,1,0,0,,0,4,5,,1,,0,1,1.25,11.25,,0,2.25,,,NO
1972-73,A. Liscano,0,0,0,,,1,0,0,,0,0,1,,0,,1,0,,,,,,0,,NO
1972-73,B. Butler,25,0,2,0,14.29,2,2,0,,0,5.2,12,,9,,2,3,2471,19.06,,3.18,4.76,1.5,,SI
1972-73,C. Moreno,25,0,0,,16.2,2,0,0,,0,1.2,3,,3,,1,0,2.4,16.2,,5.4,0,0,,NO
1972-73,C. Pascual,38,0,0,,2.7,3,0,0,,0,3.1,3,,1,,1,2,1.2,8.1,,2.7,5.4,2,,NO
1972-73,H. Brito,26,0,0,,0,3,0,0,,0,2.1,2,,0,,0,0,857,7.71,,0,0,,,NO
1972-73,H. Urbano,31,0,0,,0,1,0,0,,0,1,0,,0,,0,0,0,0,,0,0,,,NO
1972-73,J. Rooker,30,1,1,0.5,1.04,2,2,2,,0,17.1,11,,2,,0,12,635,5.71,,0,6.23,,,NO
1972-73,K. Forsch,26,0,0,,0,2,0,0,,0,1.1,1,,0,,2,1,2.25,6.75,,13.5,6.75,0.5,,NO
1972-73,L. Tiant,32,1,1,0.5,5.4,2,2,1,,0,15,19,,9,,1,4,1333,11.4,,0.6,2.4,4,,NO
1971-72,A. Monteagudo,28,1,0,1,0,2,0,0,,0,4,3,,0,,4,2,1.75,6.75,,9,4.5,0.5,,NO
1971-72,J. Rooker,29,1,2,0.3333,2.6,3,2,0,,0,17.1,15,,5,,7,21,1269,7.79,,3.63,10.9,3,,NO
1971-72,L. Tiant,31,0,1,0,1.54,2,1,0,,0,11.2,9,,2,,4,12,1114,6.94,,3.09,9.26,3,,NO
1971-72,O. Pena,38,0,0,,2.45,3,1,0,,1,3.2,5,,1,,2,2,1909,12.27,,4.91,4.91,1,,NO
1971-72,P. Hamm,24,1,0,1,1.65,3,2,0,,0,16.1,13,,3,,6,11,1163,7.16,,3.31,6.06,1.8333,,SI
1971-72,R. Gardner,27,1,0,1,2.7,2,2,0,,0,10,12,,3,,7,8,1.9,10.8,,6.3,7.2,1.1429,,NO
1970-71,A. Monteagudo,27,0,0,,5.14,1,1,0,,0,7,8,,4,,3,2,1571,10.29,,3.86,2.57,0.6667,,NO
1970-71,C. Moreno,23,0,0,,0,1,0,0,,0,1.1,0,,0,,0,1,0,0,,0,6.75,,,NO
1970-71,H. Brito,24,0,0,,0,1,0,0,,0,2,2,,0,,1,1,1.5,9,,4.5,4.5,1,,NO
1970-71,H. Urbano,29,1,0,1,0,1,0,0,,0,1,1,,0,,1,0,2,9,,9,0,0,,NO
1970-71,J. Cram,23,0,0,,20.25,1,1,0,,0,2.2,6,,6,,2,1,3,20.25,,6.75,3.38,0.5,,NO
1970-71,L. Gura,23,1,0,1,2.35,1,1,0,,0,7.2,6,,2,,1,4,913,7.04,,1.17,4.7,4,,NO
1970-71,O. Pena,37,1,0,1,4.5,3,0,0,,0,6,5,,3,,3,0,1333,7.5,,4.5,0,0,,NO
1970-71,V. Patino,20,0,0,,,1,0,0,,0,0,2,,1,,0,0,,,,,,,,NO
1969-70,A. Monteagudo,26,1,0,1,0,2,0,0,,1,7.2,0,,0,,0,4,0,0,,0,4.7,,,NO
1969-70,L. Jaster,25,1,0,1,2,1,1,1,,0,9,8,,2,,0,6,889,8,,0,6,,,NO
1969-70,M. Hedlund,23,1,0,1,0,1,1,1,,0,9,6,,0,,1,7,778,6,,1,7,7,,NO
1969-70,M. López,26,1,0,1,0,1,1,0,,0,5.2,4,,0,,4,5,1412,6.35,,6.35,7.94,1.25,,NO
1969-70,R. Nye,25,0,0,,5.79,1,1,0,,0,4.2,6,,3,,5,1,2357,11.57,,9.64,1.93,0.2,,NO
1966-67,B. Faul,26,1,1,0.5,2.77,4,1,0,,0,13,10,,4,,4,9,1077,6.92,,2.77,6.23,2.25,,NO
1966-67,G. Brabender,25,1,1,0.5,0.5,2,2,2,,0,18,11,,1,,5,13,889,5.5,,2.5,6.5,2.6,,NO
1966-67,G. Parra,23,1,0,1,4.5,3,1,0,,0,12,14,,6,,5,4,1583,10.5,,3.75,3,0.8,,SI
1966-67,J. Tsitouris,30,1,0,1,2.7,2,2,0,,0,10,12,,3,,4,6,1.6,10.8,,3.6,5.4,1.5,,NO
1965-66,B. Brandon,25,1,0,1,2.04,4,2,0,,2,17.2,21,,4,,2,12,1302,10.7,,1.02,6.11,6,,NO
1965-66,J. Bracho,37,0,0,,3,1,0,0,,0,6,8,,2,,0,1,1333,12,,0,1.5,,,NO
1965-66,J. Campos,25,0,0,,0,2,0,0,,0,4,1,,0,,1,3,0.5,2.25,,2.25,6.75,3,,NO
1965-66,M. Dominguez,0,1,0,1,0,2,2,0,,0,11.2,10,,0,,3,6,1114,7.71,,2.31,4.63,2,,NO
1965-66,M. López,22,1,2,0.3333,5.49,4,3,0,,1,19.2,24,,12,,3,21,1373,10.98,,1.37,9.61,7,,NO
